a,b
11882,3540
33468,10798
5619,480
3109,1121
45787,15113
28698,18163
17845,9133
49159,28034
2437,14147
2056,1913
8322,1863
13938,9911
15459,2767
34636,29435
37077,30628
14873,10964
1193,6623
12106,9527
19708,16813
12651,1327
33772,46237
7159,37708
15499,1677
18360,3752
18991,18882
17202,5346
40502,23579
44667,31416
7288,1349
54098,53508
9241,12551
14998,15443
10201,6816
48879,25042
1515,2933
57680,37679
22132,33646
60,1234
36779,10474
11459,9409
14258,6212
8454,5301
5981,17376
46507,46499
48074,17845
19803,9349
5091,3056
10149,2109
32406,25913
34149,16268
12296,26581
1334,848
21722,15167
6794,5525
4591,14406
50385,8726
3926,2118
651,588
39622,37936
999,3124
847,820
57705,53621
14321,1451
15050,5145
50645,712
1609,22448
10651,5489
17331,1772
58998,33064
13164,3997
31579,25471
15496,3035
59546,9043
8556,4067
36731,21303
9069,2071
46071,23708
9866,9200
22031,16254
18549,9079
601,116
43336,44871
12334,9067
19867,11255
20960,29301
27444,24888
4848,3233
36575,12940
16357,25626
7399,14570
32765,25476
37922,30606
35100,31591
42324,21998
18587,3636
23313,294
6966,2289
16101,8109
49648,44372
34869,11091
56393,35322
8920,19827
59404,2977
825,7524
40891,9493
5668,1583
14541,5295
11478,3280
12902,28148
32723,24098
5856,7882
52315,13064
18957,4937
46778,26445
3985,4234
40072,22518
52164,15372
55931,30500
50899,37782
31589,52123
916,6542
43779,16507
25208,3252
49002,13058
15053,2775
10872,2215
5611,2853
24966,24541
28248,4518
6361,5464
18528,17605
6784,25258
12556,8253
18691,10320
31242,6941
52787,52407
37017,36105
5321,7405
6537,8800
14252,3156
47327,35083
30929,7367
39019,13917
33181,9741
1105,186
20195,13306
49076,20657
34729,13895
6821,2174
15003,6848
8739,8675
51280,49124
47494,21054
55083,1088
27541,12644
57485,29308
12028,16204
2494,19099
59140,15677
2081,6179
2940,8752
57739,43368
12060,2186
12396,23194
57201,43773
10493,18656
47113,42940
46536,16915
5055,18349
24178,22259
702,5
30133,880
6160,10873
37227,32952
31635,22570
35559,50396
58799,57267
8851,26366
10625,7861
2514,3373
30505,13485
31585,18263
16618,5799
425,72
8208,4291
6694,6655
15294,14690
21320,17440
11057,6815
24797,10399
18365,13205
56289,35923
11918,32846
56844,2672
13124,4095
50925,47540
1434,1171
24253,10554
35885,20565
35897,24860
18762,2277
8437,29820
258,235
19524,3505
22819,8916
16671,51288
2977,1705
1560,1004
22748,4826
2014,1433
739,335
15731,7558
7324,26237
24493,14212
20887,16168
46987,30915
23491,8190
34179,9672
1603,607
6941,5004
23592,2579
24856,2318
33069,7644
4275,662
38404,29339
24646,3355
55262,22317
51879,33609
17201,4136
37082,21902
32663,613
38661,1253
42030,16848
25334,16790
23961,9106
6789,17
47802,449
9372,31292
16825,8057
28392,25139
3841,5557
11366,6921
50266,43061
11265,3596
38041,20927
45376,41204
35152,3843
18177,7835
2790,703
40986,33001
33340,29896
42495,11835
5632,2379
29910,10665
14415,4072
35534,34016
25363,352
9729,7701
31529,24384
12776,7789
4425,1345
38072,16082
59013,43242
15698,29775
8162,6229
5979,761
31334,22282
39652,54276
4377,13300
7244,5277
15176,6950
43424,25225
48995,4263
27357,9466
4473,8477
44500,4044
42050,9244
1572,136
17671,6305
48036,14344
28869,22445
38985,4617
59358,49320
9647,1394
42748,16571
17652,3845
4374,4764
39218,5461
119,301
16132,5889
35288,17045
15678,5147
20779,7690
4769,503
5325,1966
17283,19479
57981,32702
5756,2166
39397,13112
446,54
51361,41554
2063,3366
19076,8345
9644,14174
36551,14559
1709,819
1695,352
52027,37110
28463,3163
19372,5602
17067,13131
14596,10579
35249,11274
7257,38477
52365,50929
2062,917
43870,23078
12264,19267
11078,7826
7315,4243
10039,9407
13170,9356
38421,4859
47079,36012
57356,17164
22476,35443
48118,32164
21906,16531
41876,2214
56892,28635
11470,43043
17362,57087
55255,25970
490,578
59073,32543
58813,9244
37291,10533
40199,39713
25388,17018
20822,25484
33465,13094
8721,3700
23901,31052
24270,7226
26058,6292
13938,8745
6493,13229
48876,30142
6011,3549
8969,6791
38171,33242
57438,24257
38504,28950
19441,14848
43753,28373
3457,168
14272,25872
13617,1356
39483,22149
54087,20310
45708,17993
7653,32997
1908,1506
6022,5088
10126,2267
12168,21768
53956,43500
43111,24671
31978,1027
13072,21927
24333,22541
5935,1443
16614,16607
20741,9869
6646,115
20772,13594
6326,11236
27842,15607
20400,5396
20519,10760
24708,7627
7518,4358
5163,3242
44556,22362
8230,10431
17681,14430
58000,44028
56068,54457
57664,11818
10065,14459
2153,960
49866,25258
46209,30349
16840,2879
50474,2962
35708,10112
17726,15353
4654,5660
24377,5200
38030,18481
37664,11189
11921,10633
44734,16204
726,283
507,83
16002,9121
2005,25418
9383,13471
9330,9120
1512,19181
37769,9729
38864,24232
4044,422
2712,3023
22830,10989
11431,10782
28043,25173
33822,2611
39228,32108
47691,10764
364,3382
21297,17866
20171,10722
37435,5810
5764,337
5023,33969
41704,2482
11570,4585
5203,3117
38113,2919
1867,37913
33378,9531
7978,809
22975,5633
46182,29459
17420,17332
17837,15138
18727,13665
1835,1736
33336,336
65,4625
13479,51769
220,8994
11136,7787
23353,8507
23738,11589
52659,52207
2591,15522
25635,477
672,510
56150,34207
17521,26129
15148,38293
20365,1537
33111,22981
15074,17835
49370,17387
934,1005
14730,1697
27667,22262
48287,5219
6572,21712
7695,1999
16741,9341
6623,225
47740,11096
24030,22191
403,1028
3211,20672
39748,33945
25507,17843
3838,23173
21787,22080
686,92
5565,1180
14793,32411
26848,12800
46470,6611
50562,20016
5223,76
53572,45746
15232,14419
7058,2382
22742,15409
33293,12357
175,16074
15534,6726
9185,24818
11920,25143
37884,9455
24368,12029
54910,45706
18067,18029
21311,9923
5960,32698
10463,618
2974,1370
46454,367
9908,9286
43999,10850
46831,36007
17310,8743
56950,4799
42893,45185
56647,25315
2330,2075
25621,6389
9204,226
21374,8297
36707,13546
51237,46865
53508,29636
22303,20081
35875,15957
8221,18530
6720,3434
6902,5638
42382,32610
10772,12268
20829,10732
1391,2919
31191,20698
19856,5689
4047,15024
40026,7916
38268,2853
12907,11303
4179,12242
8643,5132
37863,36940
35891,16167
40524,18028
3155,740
2945,1393
6495,2671
31784,8021
47640,36836
1378,1069
14486,5033
7091,22667
35662,15240
40875,13414
1025,39642
1041,928
21826,10347
11158,6190
50492,23464
32121,11712
544,13029
5444,790
46550,33639
44454,28694
41991,35094
34196,3131
985,171
8908,6292
7812,2833
45327,33099
15263,6967
9677,148
35124,7268
21443,27471
6535,1345
33392,25214
58179,18455
13820,15452
16776,20714
9796,17243
19432,9918
2486,1921
36967,22167
53291,39143
27812,23343
40154,35037
35182,34535
26001,3617
37979,23820
39166,29782
25969,9598
56328,18739
10581,30474
1379,403
47747,16733
37696,13310
69,9
8673,3606
50716,9009
9209,236
1060,909
27310,23963
49517,45542
24813,23773
4907,7186
7260,5900
21123,7886
2487,19993
53147,20215
1781,118
44201,5877
58454,35695
14728,4895
1282,12503
7968,848
19757,22344
231,523
3151,1838
18338,3854
34616,13844
16044,22382
16765,12680
25492,7263
9488,3688
50024,37353
1972,6044
24089,2766
46138,747
20895,441
39920,6681
9300,7204
10405,17629
17839,5626
41785,24183
48156,43667
13558,13271
13497,8351
285,22
5189,1241
28836,20515
10797,10367
12203,5241
33074,4523
12815,6705
15209,3687
2504,8995
42304,24475
8508,5022
14940,3113
26548,24064
52376,26809
21086,41020
13990,4898
9375,1688
57895,14309
49006,18069
6090,14423
16750,599
28669,20091
3318,4660
13619,11378
30664,20419
42522,28856
3791,3875
34284,10636
48457,33251
25782,8068
35250,16381
56137,18526
47837,7502
2237,1073
33067,30154
58031,55511
20693,39516
12249,7884
51137,22578
35806,24956
13314,28281
23470,348
32863,6141
16639,19182
11042,6654
25655,19284
12725,11711
11204,11001
13469,26072
1639,1355
9731,4337
45454,30999
46198,40415
27457,12345
4702,2165
4738,5140
16209,10680
5178,4333
40375,21770
7735,4075
53544,28427
14114,9790
57622,37328
4310,2404
519,8266
8501,11718
56089,46027
3653,682
9257,7790
25147,1691
27873,6998
54404,51942
3355,2831
1299,4327
12440,5104
4856,3205
1833,3676
21604,28183
40393,23056
41601,41350
50299,22410
31428,7971
1393,52168
37746,11363
7438,8735
4572,4169
26506,11609
18846,15179
19490,15555
600,866
22511,8071
25427,9484
54095,11816
7765,2968
3594,3537
28704,7348
10463,7973
35582,31018
25689,16994
14169,5042
19566,33235
18210,14955
29597,21109
41727,1306
10770,2490
45516,43654
22565,2069
2732,1232
9501,9230
7808,13310
25439,153
4344,3328
30546,16404
13553,7823
23296,16086
12596,11468
3352,2045
13626,3841
41087,1380
34714,25664
3597,4806
49790,11676
32500,5084
8768,4997
50963,27692
19536,9455
40844,37597
52585,42866
19248,556
34819,5196
5056,403
6624,5906
2385,322
57814,38515
12819,25
35014,1165
5892,32664
9890,5464
269,234
10037,5486
13990,9188
52913,6440
9329,12614
953,3921
54543,16096
3217,3509
18699,4634
41515,34551
52727,26478
958,1797
11185,218
30678,4555
37923,36135
40727,29805
51114,10300
50655,7041
55592,52590
40657,6248
3433,1915
50192,21066
8933,1361
3485,3348
9610,7833
29225,19088
11,11028
33474,52643
6676,2664
14558,12947
168,368
5012,2042
8823,31006
44445,36935
6521,575
14676,1236
45313,20654
35115,28419
49713,14110
6490,40689
40507,34056
42351,24079
48734,24312
47230,36428
8605,4476
43838,22325
3099,2549
374,812
14167,1142
35176,19861
46855,11367
25505,14351
3195,1968
56668,33704
7786,5717
36743,34473
19442,8663
1049,285
21617,2483
51663,3960
23670,1197
10888,1297
40673,10528
45570,32676
7704,5193
10594,7965
31210,23236
1431,1233
21817,18629
50975,49263
55587,26069
54965,20254
6887,4030
14697,13566
3207,1098
3747,7165
56208,31055
19305,3429
34358,20604
24558,7618
16402,25739
24386,28078
8986,8367
36215,11678
20679,6387
8039,7134
59429,54617
9,4
17181,16419
13189,2171
46308,33749
24869,16188
9667,5585
48070,31953
11858,21591
34451,20776
864,640
313,382
28923,17204
29705,17960
20451,3764
41606,21152
24021,15199
52423,2352
4186,1802
54825,10853
23881,864
7161,9387
26809,46296
53309,4469
53356,47474
2941,2636
3720,11250
6050,8322
27688,22363
36928,19042
9449,967
7967,166
59114,56459
3203,2080
28862,21669
50503,16465
21052,12568
2332,2469
29026,22855
53705,45447
17813,19119
2384,2597
1260,8538
97,8045
16085,11934
23137,28421
16369,12122
5925,5217
2975,29501
8098,7612
11374,18142
1864,18060
5741,1361
42028,41726
58659,37565
3713,107
13060,7041
4546,1796
13811,830
6451,5301
29803,28243
46448,30988
1843,5193
25414,1341
25862,7165
44910,43033
2050,22837
11855,7200
25665,11588
3035,9105
41044,105
59194,44459
2391,3610
27387,46917
58955,3992
46522,32507
8819,4166
52759,37783
30079,28603
7512,13240
2564,4995
24661,17574
11626,8061
12783,176
48804,41889
24566,44692
25499,22081
171,2276
19762,12163
5530,12724
8344,7366
1441,464
40790,17260
20330,5683
1006,4498
4603,5542
23044,21659
6026,2575
11113,3083
22949,12719
17189,2331
20620,989
49803,14805
1831,13494
1788,1452
54959,48649
2789,4835
55738,1586
28622,38725
3159,3025
2382,627
43845,6220
2674,1961
25892,15170
29515,22662
15618,18554
52576,42016
23515,32149
13994,3046
17002,12953
17708,5777
3312,954
11891,2071
14474,2045
22158,631
756,3149
17049,19466
11307,4586
11534,95
11041,7481
7784,791
22966,7734
25590,24333
3954,2692
14489,30477
16099,33180
33962,27866
15684,10751
53452,19881
4899,39611
6789,10723
22315,13191
8655,6147
41330,34565
923,108
13326,4440
36449,8497
7888,14044
24287,13457
30607,26629
2844,1062
8023,7154
9144,4095
12512,22391
1635,11983
47646,29709
11784,22618
56463,17943
8053,5120
18107,1752
33186,33963
1155,20265
52683,12024
19314,8981
22716,13497
58547,21131
15410,7968
58692,39626
31948,5198
53842,35983
16131,6817
1299,1604
18678,5584
51725,52987
7751,1291
3598,1247
56614,43147
23852,7372
28091,3398
24119,23023
43757,22461
2754,17253
27930,11852
27023,11692
6099,5744
11110,10603
20117,6359
10068,2750
4790,5
7142,4533
15730,27556
103,2835
22345,21776
7099,1226
2782,5789
46443,38273
12846,387
13284,7156
52805,25634
31050,25826
45495,21465
7691,583
49807,27318
9716,4931
22384,5119
10638,9433
12047,11434
36264,29695
28559,20060
57734,13443
33091,38076
24820,15507
5479,3313
55250,36180
41680,14375
52050,845
12941,44034
19166,14069
46464,4807
26569,21277
2934,1764
57932,41508
37170,9205
4071,4488
9211,8502
59360,3255
12641,8835
43550,36718
5494,4689
12042,5677
52697,24979
33669,15886
22337,9477
17768,4049
2649,1814
19630,4747
26248,11128
7029,9018
26111,17961
43436,36864
31161,3685
20817,32
35631,22457
39310,27751
36512,27308
756,893
27672,7428
58511,33458
22311,21814
8268,181
37754,17583
46770,29261
8874,2750
47229,10503
977,649
14651,88
20651,19432
45520,37929
20316,14281
37158,14686
9364,24103
13004,5252
25865,6322
1133,63
41424,19692
12003,2904
57284,30428
7985,13897
42094,32382
6572,5901
3377,2877
38118,30081
55318,8172
59150,5932
2745,1723
26721,10119
6281,4965
15899,3999
50325,38375
21428,8689
49620,21838
2459,15581
17662,11823
19981,8387
48028,47856
2356,5291
751,36298
24463,18635
59295,22957
25985,49981
16247,51463
27522,22375
7773,2951
7312,2704
18049,185
11243,1598
49302,21455
7166,1277
2906,7144
56377,43200
35040,2736
19040,13482
17743,14121
15039,41342
19669,7271
16291,9637
47466,14914
37599,24455
20563,18598
56061,55018
339,411
1690,392
23411,20815
21833,20287
168,721
46757,44929
2008,747
9001,2104
21179,6914
52448,42722
6973,17819
10550,1315
14951,8788
51781,5129
8060,5771
15193,8996
4029,2208
16719,330
3796,3741
18977,15535
3862,1225
19280,29409
185,2999
9255,4585
9100,1602
39615,1094
32119,19402
1195,649
31148,31078
49415,4850
171,97
25874,3935
450,56
27392,3363
57942,3905
11533,2549
8940,27584
36175,28244
32768,14323
55859,34331
14339,11147
8941,7206
20573,14113
22859,22516
840,4231
33622,0
12051,4754
1773,4610
16956,939
12704,9620
18511,4020
42941,2398
36013,29316
47720,38592
51500,9228
20205,15600
758,4967
17101,1587
2808,161
30756,36034
49889,43348
14681,4496
4250,6331
42891,5067
6221,3939
27143,9901
8095,7567
24480,22823
46993,36984
24915,25260
16911,25316
49878,27297
33466,25126
54932,41019
7941,8707
19883,13607
45676,16930
41549,19799
53081,46161
28530,10584
5076,189
46811,36446
28556,5468
47667,1172
42690,31482
20945,9010
6806,1037
24821,15131
43820,28416
53727,5449
18773,50140
58603,14725
5938,28379
56440,54617
38092,3889
20783,10791
24428,7595
12515,10791
50550,1217
30574,2839
8656,8562
24461,9142
5613,4513
44453,35242
22509,10158
50486,13744
21666,4938
27954,30746
35912,31593
21349,38388
54544,6038
2114,5603
3261,834
11186,18420
594,801
21584,14759
55636,2395
14424,11422
56458,31100
52327,54901
13560,52924
27003,11666
44744,42346
47406,15021
26693,22969
4781,3229
26657,16796
54445,16457
34856,18267
23369,10215
56615,42036
12410,17176
42363,34164
20020,3990
15538,14594
9534,37801
1614,583
3850,9395
2228,2141
14405,793
20933,20633
2696,2983
1842,370
46398,11116
15675,3150
965,32432
50052,33042
37162,11289
20642,14464
10676,156
7229,12535
34723,20220
3360,2500
12811,9519
38372,13790
462,636
266,299
36493,39853
30913,7405
25056,36664
5573,813
1771,599
19915,9281
18139,19746
34457,6332
18811,5120
41276,1535
7419,6817
10604,5281
8136,2370
24968,9090
40484,22153
2827,7784
541,1865
46313,35541
24128,21679
17050,14179
50421,14498
18911,17836
12466,33510
24034,9379
4352,1021
14321,4497
11355,13411
13195,9546
4317,30460
8004,6025
51193,10000
1306,3322
23395,22528
29669,4049
23239,20760
33489,15476
15951,29226
41217,1257
44144,37871
26422,14022
45773,45299
55522,5561
59563,43219
52073,46939
6369,2457
26632,6167
3306,2250
44727,29119
19554,7336
36457,31253
53929,10930
17021,10489
28848,6638
3481,56456
10859,26739
48702,36461
7156,6736
8334,5579
27611,1492
15629,3501
30934,22456
53897,43297
55277,13848
34409,15048
32848,27741
57577,8696
9589,6989
29053,20998
41381,11049
44896,29947
10148,22237
54338,29692
7754,5863
56374,10415
34331,23889
2160,4050
45303,38567
3879,1769
4606,2113
48698,41806
24346,19578
52551,11169
17537,4461
11887,1534
25,6
49957,44621
51601,30366
26376,47091
16241,5425
220,2291
53851,26422
