a,b
9466,10605
6821,2174
15003,6848
8739,8675
30,341
22349,4920
4771,3050
15257,13420
2494,19099
2081,6179
4300,6094
26701,3853
2940,8752
28072,9345
12060,2186
11643,7436
10493,18656
17587,3781
5502,3248
702,5
6160,10873
17304,1761
18671,20339
4340,589
10625,7861
2514,3373
16618,5799
425,72
833,91
6694,6655
8208,4291
15294,14690
11057,6815
21320,17440
24797,10399
18365,13205
22473,7691
13124,4095
8284,10348
1434,1171
4638,3591
17089,16385
7920,14125
24253,10554
18762,2277
22678,17081
15560,8194
4025,2515
258,235
19524,3505
19222,22479
9655,4105
15060,6109
22819,8916
17702,10295
2977,1705
1560,1004
18360,11126
2014,1433
1821,1743
6362,2502
16522,5635
22748,4826
739,335
24493,14212
24902,7626
20887,16168
10081,7922
1603,607
5646,4609
6941,5004
23592,2579
24856,2318
4275,662
24909,20129
17201,4136
25334,16790
23961,9106
6789,17
16825,8057
1231,264
25,72
19374,7063
3841,5557
11366,6921
11265,3596
12075,5918
18177,7835
23068,14691
5632,2379
14415,4072
1463,474
25363,352
9729,7701
12776,7789
4425,1345
5084,2064
8162,6229
5979,761
4377,13300
1523,5677
7244,5277
15176,6950
17478,16813
20781,15753
27357,9466
4473,8477
1572,136
17671,6305
28869,22445
18989,295
2008,1122
9647,1394
9857,6343
14419,12461
4374,4764
17652,3845
119,301
16132,5889
20828,14650
22019,3549
20779,7690
9873,3302
4769,503
5325,1966
15067,2745
5756,2166
18281,14940
446,54
1594,418
2063,3366
19076,8345
11486,10832
9644,14174
1709,819
2713,1301
17905,15149
1695,352
8366,2027
28463,3163
17067,13131
14596,10579
18658,9397
2022,405
2062,917
15276,12112
10924,14749
16427,17712
12264,19267
11078,7826
7315,4243
10039,9407
28424,28257
1798,1633
11735,3817
16235,15342
17807,846
28856,16555
9653,242
9868,7267
490,578
5973,5142
25388,17018
8721,3700
25429,968
21102,20972
24270,7226
26058,6292
12727,7578
1506,8994
13938,8745
8451,743
3107,90
6004,9060
6011,3549
8969,6791
15093,19637
19441,14848
17444,7662
117,3
18137,839
2413,2300
3457,168
13617,1356
18373,11671
9702,1262
4201,6990
29707,28395
14181,560
17943,3498
1908,1506
6022,5088
3889,1954
10126,2267
4233,3486
8184,7980
25534,19931
24333,22541
5935,1443
3336,10709
1997,1381
16614,16607
23530,14348
6646,115
20772,13594
4270,1985
6326,11236
27842,15607
2502,7256
20400,5396
7598,8584
24708,7627
7518,4358
5163,3242
12006,7869
9754,5280
13184,9966
8230,10431
7373,2181
5825,1682
28147,24953
17669,7733
8081,1740
20538,5607
7442,1918
10065,14459
2153,960
19735,508
27173,2982
27447,15720
16840,2879
5197,145
17726,15353
3266,465
4654,5660
24377,5200
11921,10633
726,283
22193,522
507,83
16002,9121
13696,3025
11075,605
4590,2825
23890,21985
9330,9120
2796,4687
27708,4574
2830,5669
4044,422
2712,3023
22830,10989
11431,10782
17515,3329
28043,25173
6144,350
364,3382
26226,10796
17781,1659
21297,17866
5635,1463
20171,10722
5764,337
13937,10655
429,551
12232,4370
11570,4585
5203,3117
4497,4539
22740,6830
7978,809
22975,5633
23863,1266
26462,12859
28215,12039
479,349
17420,17332
17837,15138
18727,13665
1835,1736
23816,5238
14713,8121
65,4625
220,8994
11136,7787
23353,8507
23738,11589
2591,15522
3348,1669
672,510
9635,2960
20365,1537
21832,8515
3,12
18460,368
19069,16478
3200,11178
6157,1128
934,1005
15101,1592
14730,1697
22150,11064
27667,22262
7695,1999
25212,24979
23063,14681
16741,9341
24315,10743
641,515
403,1028
11820,1701
3211,20672
25507,17843
6479,1266
3397,3287
21787,22080
686,92
5565,1180
5011,1459
20017,9724
513,506
5223,76
15232,14419
7058,2382
22742,15409
18050,4532
2626,417
15534,6726
175,16074
22779,9017
9185,24818
3498,4033
21311,9923
9169,10354
2974,1370
7261,3506
2777,1656
17347,9130
20314,14594
7815,3262
3671,2927
9908,9286
12784,4538
17310,8743
7694,2717
2330,2075
25621,6389
9700,4083
276,213
9204,226
21374,8297
4821,4232
22303,20081
4707,3624
15813,11086
8221,18530
6720,3434
6902,5638
21855,7404
20829,10732
1391,2919
16677,7382
5436,4090
2602,925
19856,5689
4047,15024
12907,11303
4179,12242
27625,17453
3155,740
2945,1393
6495,2671
7698,21882
1378,1069
6415,3526
14486,5033
23287,17595
7091,22667
5827,2277
4543,3346
6398,789
1041,928
18186,4243
21826,10347
11158,6190
20742,6883
544,13029
5444,790
1750,1567
5721,2140
985,171
8908,6292
14871,10358
7812,2833
15263,6967
9677,148
8633,3331
23991,22277
6535,1345
13548,6362
13820,15452
258,2411
8922,7139
9796,17243
16776,20714
19432,9918
8067,2418
951,729
29701,25521
1887,3982
27812,23343
16009,12489
26001,3617
7280,1024
1379,403
27348,22799
69,9
8673,3606
9209,236
5338,6018
1060,909
27310,23963
7128,6627
24813,23773
13746,82
23974,1115
7724,855
7260,5900
4907,7186
21123,7886
14901,3347
17546,14783
781,9164
14149,2000
1781,118
6322,805
14728,4895
4188,7375
7968,848
231,523
3151,1838
20002,10928
16044,22382
16765,12680
9981,6654
25492,7263
9488,3688
6181,4920
10560,10892
7560,3337
24089,2766
25885,120
9300,7204
7547,3779
17839,5626
10405,17629
13558,13271
7390,9152
13497,8351
43,63
1034,2640
285,22
5189,1241
806,408
1556,4965
10797,10367
12203,5241
21421,3402
12815,6705
15209,3687
2504,8995
18564,10194
969,15221
14940,3113
26548,24064
2704,161
18318,16251
14562,9078
9375,1688
13990,4898
20183,13600
6090,14423
16750,599
28669,20091
3318,4660
13619,11378
3791,3875
26222,21133
2878,16470
25782,8068
5728,2314
6342,4524
19506,15582
2237,1073
25421,1377
7063,6431
20095,18985
7342,4801
19007,18157
23740,19809
2054,792
6644,1463
12185,3056
28602,11278
21760,19700
16639,19182
11042,6654
7477,4008
25655,19284
12725,11711
11204,11001
5997,7933
4492,4912
8665,130
1713,1485
1639,1355
12745,5362
9731,4337
27457,12345
4702,2165
5042,1486
10917,4344
24366,10925
13621,4035
731,4778
16209,10680
5178,4333
4453,894
7735,4075
14114,9790
4310,2404
23618,14198
519,8266
8501,11718
24367,20534
3949,3031
3653,682
9257,7790
25147,1691
16198,2249
27873,6998
3355,2831
1299,4327
12440,5104
4856,3205
27506,13006
1833,3676
13130,9778
5206,4533
12890,11485
4572,4169
26506,11609
18846,15179
19490,15555
600,866
22511,8071
7765,2968
7093,21749
3594,3537
28704,7348
10463,7973
3445,5215
18662,8205
18066,9215
25689,16994
27087,16919
14169,5042
18210,14955
29597,21109
11334,12917
10770,2490
26041,15707
22565,2069
2732,1232
9501,9230
14309,8054
7808,13310
4344,3328
4829,8474
25439,153
13553,7823
23296,16086
3352,2045
13626,3841
3597,4806
8768,4997
19536,9455
3714,2126
7120,6104
19248,556
28068,7626
5056,403
6624,5906
2385,322
21511,7620
29732,26636
9447,14230
269,234
15733,3768
10037,5486
13990,9188
9329,12614
953,3921
211,17661
250,195
2011,3974
3217,3509
16828,13135
17784,2563
18699,4634
958,1797
15265,10823
11185,218
11253,6023
3433,1915
7879,5696
16563,15955
330,202
6084,6888
8933,1361
3485,3348
1916,444
17391,8793
17503,13427
9610,7833
13441,7877
8130,5645
22436,7479
11,11028
29225,19088
6676,2664
14558,12947
15784,9361
168,368
22511,389
20019,11723
22792,13700
5012,2042
23448,1800
6521,575
714,423
14676,1236
9027,8021
24651,14514
220,83
1031,3299
8605,4476
1244,2142
3099,2549
1225,898
1077,929
374,812
14167,1142
24191,19749
25505,14351
3195,1968
2326,8420
7786,5717
240,3328
17138,12894
18448,888
4761,329
19442,8663
1049,285
22738,6221
21617,2483
1468,19787
23670,1197
15506,13135
15216,1854
25321,6900
9043,8657
12850,5617
10888,1297
2308,2452
744,506
28841,19193
7704,5193
10594,7965
13759,9959
24242,11564
1431,1233
6725,7910
21817,18629
29678,4894
6887,4030
14697,13566
5244,9806
3207,1098
3747,7165
19305,3429
24558,7618
16402,25739
26596,17726
7206,10757
24386,28078
8986,8367
962,371
3072,15151
487,1324
9011,967
8039,7134
9,4
17181,16419
13189,2171
24869,16188
9667,5585
6632,580
11858,21591
864,640
313,382
13616,4773
28923,17204
20451,3764
4186,1802
27795,14880
24596,5019
23881,864
21266,4310
972,1537
7047,4737
2941,2636
3720,11250
27688,22363
9449,967
7967,166
3203,2080
4439,4107
13236,7785
28862,21669
4552,3237
22970,3187
22194,15297
21052,12568
2332,2469
23137,2143
15152,12912
2384,2597
1184,410
6176,3157
21302,8312
17813,19119
1260,8538
97,8045
16540,5237
16085,11934
16369,12122
5925,5217
8218,7501
15206,3706
19596,10845
8718,3019
6021,3274
8098,7612
11374,18142
1864,18060
5741,1361
876,10207
19868,9082
3713,107
13060,7041
4546,1796
13811,830
6451,5301
12098,13019
916,4538
29803,28243
1843,5193
25414,1341
25862,7165
11855,7200
25665,11588
15726,12353
3035,9105
2391,3610
12469,4658
1073,370
12154,2849
8819,4166
19176,13003
11272,1461
522,2159
7512,13240
2564,4995
11626,8061
12783,176
20258,8358
171,2276
19762,12163
25499,22081
7448,1756
7135,7241
8344,7366
1441,464
7031,2877
20330,5683
16577,15066
4603,5542
12221,8747
6026,2575
23044,21659
5032,2739
11113,3083
22949,12719
25719,6190
17189,2331
20620,989
8653,820
1788,1452
13197,9332
1831,13494
2789,4835
3159,3025
2382,627
27347,9104
25161,21096
2674,1961
17384,2652
15329,13149
25892,15170
7330,6042
15618,18554
12267,12900
20140,11405
9896,22368
17002,12953
21428,10026
3312,954
11891,2071
14474,2045
1205,2503
22158,631
3326,2555
756,3149
11307,4586
15590,14674
11534,95
11041,7481
7784,791
22966,7734
3954,2692
4794,3593
7226,9087
1240,2285
15684,10751
6789,10723
674,647
17677,10774
22315,13191
22795,17220
8655,6147
23766,6929
923,108
5695,303
13326,4440
7888,14044
7991,2932
24287,13457
7326,3530
27004,20967
2844,1062
353,129
8023,7154
9144,4095
1635,11983
20310,19968
8053,5120
27805,8072
18107,1752
14803,6043
9533,10785
984,396
16792,22220
19314,8981
15410,7968
21144,15176
13345,11801
3864,3579
16131,6817
1299,1604
18678,5584
6474,692
7751,1291
3239,8381
609,3
3598,1247
701,723
6532,7592
115,18416
29709,13198
23852,7372
2764,2297
28091,3398
27097,922
20105,6302
9113,2209
24119,23023
2754,17253
27930,11852
27023,11692
6099,5744
11110,10603
20117,6359
10068,2750
4790,5
7142,4533
9127,19122
103,2835
14097,4981
22345,21776
27181,18437
12846,387
13284,7156
9716,4931
22384,5119
23715,9677
10638,9433
19777,7248
12047,11434
23695,7004
2275,319
28559,20060
208,224
24820,15507
5479,3313
25199,13732
9506,18683
21293,5357
19166,14069
17326,420
5950,9481
4429,9637
6988,6067
23763,11864
26569,21277
22809,15323
4071,4488
9211,8502
15393,11938
17632,1622
12641,8835
12080,720
29221,12639
5494,4689
12042,5677
1555,539
22337,9477
23881,990
17768,4049
19445,1798
2649,1814
22688,10722
19630,4747
7922,5558
7029,9018
4538,724
26248,11128
26111,17961
20817,32
756,893
2014,4523
8924,3137
2363,12958
25049,5940
22311,21814
8268,181
8874,2750
977,649
14651,88
20651,19432
20316,14281
20255,16780
9364,24103
13004,5252
27824,9664
25865,6322
8796,3258
11193,2645
4156,3724
1133,63
12003,2904
12382,2619
7985,13897
6572,5901
3377,2877
1038,114
23496,16350
2745,1723
23480,18658
26721,10119
6281,4965
21428,8689
2459,15581
800,475
21173,12847
17662,11823
8704,1946
24280,3911
19981,8387
2356,5291
5386,3000
24463,18635
2413,2215
433,55
13890,5093
10294,5145
7773,2951
7312,2704
18049,185
11243,1598
13429,3030
7166,1277
2906,7144
19040,13482
17743,14121
19669,7271
17539,1892
26174,25304
16291,9637
649,27834
23983,4493
3838,3951
20563,18598
339,411
6144,21036
1690,392
13456,8923
23411,20815
13251,1596
25306,22955
27304,22973
21833,20287
168,721
20515,17776
2008,747
9001,2104
6973,17819
10550,1315
14951,8788
8060,5771
15193,8996
23829,9472
2107,10905
24183,8957
4029,2208
6205,1568
3796,3741
428,306
3862,1225
16719,330
18977,15535
17987,6909
4838,940
13841,5636
185,2999
9255,4585
9100,1602
11792,5194
13874,44
11772,12971
1444,1541
1195,649
164,9870
4452,4026
171,97
25874,3935
450,56
22919,1067
27392,3363
11533,2549
3732,16793
1359,13337
16450,1106
17035,1794
10412,5720
8941,7206
20573,14113
22859,22516
840,4231
28782,18870
12051,4754
1773,4610
14750,1999
16956,939
12704,9620
18511,4020
4068,2929
6979,1682
758,4967
7763,2294
15979,12693
17101,1587
2808,161
23856,14381
2572,15176
1871,2843
14681,4496
4250,6331
6475,10692
8834,7273
6221,3939
8491,5417
11193,7699
8095,7567
7941,8707
500,409
16010,14182
9526,6181
2952,1748
5076,189
3198,31
4713,3889
7262,10367
22683,13726
4593,8179
6806,1037
24821,15131
5474,9716
3884,1599
20783,10791
24428,7595
12515,10791
24575,20542
6707,4724
8656,8562
24461,9142
5613,4513
5182,2351
22509,10158
28813,18969
1254,554
21666,4938
24044,11845
22325,22079
2114,5603
594,801
21584,14759
14424,11422
10603,18250
3032,1330
13222,8392
9916,18410
13714,5221
27003,11666
25052,8899
27619,11528
26693,22969
15790,6401
4781,3229
26657,16796
28555,7564
23369,10215
11912,4483
12431,6573
15538,14594
4520,2785
6153,10965
1614,583
1997,1605
3850,9395
2228,2141
14405,793
20933,20633
2696,2983
1842,370
24085,2456
4776,3662
1919,5000
6897,3356
15675,3150
10053,2096
25996,6381
16154,9718
10794,2223
20642,14464
22759,5651
10676,156
7229,12535
3360,2500
12811,9519
10498,9733
1073,1809
900,1355
23474,12458
462,636
266,299
29578,15332
2925,2222
6019,2615
5573,813
28098,3233
25528,11140
1771,599
19915,9281
3757,1076
18436,9312
4423,5300
18811,5120
24121,7370
7419,6817
10604,5281
8136,2370
23444,601
24968,9090
2827,7784
541,1865
17050,14179
18911,17836
9552,2880
24034,9379
578,34
24508,21562
14321,4497
5596,4371
11355,13411
13195,9546
10572,8468
8004,6025
1306,3322
20717,7918
23395,22528
23239,20760
6054,4724
26422,14022
683,1010
16533,15256
6369,2457
19408,8042
3820,1600
3306,2250
18276,9778
19554,7336
23782,21642
26632,6167
12512,4850
28897,20424
25338,17707
4668,2432
8367,10227
17021,10489
5912,12032
537,950
28848,6638
7156,6736
8334,5579
15629,3501
3559,5158
8770,172
2415,5540
9589,6989
29053,20998
10705,17671
7754,5863
28895,10771
4805,160
983,2264
3879,1769
4606,2113
6564,4393
24346,19578
401,1386
17537,4461
5120,3219
11887,1534
25,6
26905,10105
5881,2042
2714,1062
3196,12
16241,5425
220,2291
28554,18443
965,267
29016,12369
2933,1591
6114,2891
109,1221
23725,18949
13910,12590
19562,11375
18499,14950
25548,21259
9240,9494
17680,6341
9272,1244
13801,4847
27764,11064
10331,908
29558,25328
4519,850
4217,1338
19929,11354
20073,16138
24665,15834
772,3267
